"CASE"	"SERIAL"	"REF"	"QUESTNNR"	"MODE"	"STARTED"	"GEN"	"AGE"	"KV_A1"	"KV_A2"	"KV_A3"	"KV_A4"	"KV_B1"	"KV_B2"	"GE05_CP"	"ORDER"	"AV_A"	"AV_B"	"TIME001"	"TIME002"	"TIME003"	"TIME004"	"TIME005"	"TIME006"	"TIME007"	"TIME_SUM"	"MAILSENT"	"LASTDATA"	"FINISHED"	"Q_VIEWER"	"LASTPAGE"	"MAXPAGE"	"MISSING"	"MISSREL"	"TIME_RSI"	"DEG_TIME"
305			"base"	"interview"	2020-06-08 20:41:34	2	54	1	2	-9	4	2	4	24	2	100	"01:00"	8	45	47	79	28	16	47	270		2020-06-08 20:46:04	T	F	7	7	10	10	0.84	7
306			"base"	"interview"	2020-06-08 20:44:27	2	55	1	2	3	4	4	3	24	2	400	"01:30"	44	118	43	61	27	21	42	344		2020-06-08 20:50:23	T	F	7	7	0	0	0.55	0
313			"base"	"interview"	2020-06-08 22:10:08	1	48	1	2	2	5	3	5	24	3	150	"02:30"	41	143	25	97	53	11	33	403		2020-06-08 22:16:51	T	F	7	7	0	0	0.58	0
315			"base"	"interview"	2020-06-08 22:46:08	1	19	1	2	4	4	2	5	25	3	300	"02:30"	4	82	16	20	48	8	66	199		2020-06-08 22:50:12	T	F	7	7	0	0	1.33	32
318			"base"	"interview"	2020-06-08 23:25:33	2	20	1	2	5	5	2	3	25	1	2000	"04:00"	272	44	33	68	28	8	25	221		2020-06-08 23:33:31	T	F	7	7	0	0	0.78	3
319			"base"	"interview"	2020-06-08 23:27:00	2	20	1	2	5	5	4	4	25	1	500	"02:00"	21	55	29	65	16	10	26	222		2020-06-08 23:30:42	T	F	7	7	0	0	0.9	3
320			"base"	"interview"	2020-06-09 01:55:33	1	19	2	2	5	3	2	5	25	4	40	"03:30"	16	177	28	140	28	22	23	202		2020-06-09 02:02:47	T	F	7	7	0	0	0.65	0
321			"base"	"interview"	2020-06-09 08:52:37	1	20	1	2	5	4	4	5	26	2	100	"04:30"	4	34	27	131	12	9	20	149		2020-06-09 08:56:34	T	F	7	7	0	0	1.39	29
322			"base"	"interview"	2020-06-09 10:46:35	1	20	1	2	1	5	1	3	26	4	1	"00:20"	17	38	16	23	15	7	15	131		2020-06-09 10:48:46	T	F	7	7	0	0	1.41	22
326			"base"	"interview"	2020-06-09 12:23:00	2	20	1	2	4	5	2	4	26	3	1000	"03:00"	12	135	25	64	29	12	43	320		2020-06-09 12:28:20	T	F	7	7	0	0	0.75	1
329			"base"	"interview"	2020-06-09 13:44:15	2	19	1	2	2	4	3	3	27	2	1000	"02:30"	40	132	94	168	56	31	36	341		2020-06-09 13:53:32	T	F	7	7	0	0	0.37	0
336			"base"	"interview"	2020-06-09 15:26:23	1	20	1	2	4	5	4	2	27	3	1000	"02:00"	11	47	18	22	11	6	14	129		2020-06-09 15:28:32	T	F	7	7	0	0	1.55	27
341			"base"	"interview"	2020-06-09 16:08:55	1	21	1	2	2	4	1	4	27	1	200	"03:00"	5	67	27	46	66	38	48	224		2020-06-09 16:13:52	T	F	7	7	0	0	0.94	14
342			"base"	"interview"	2020-06-09 16:22:43									27	4		"67777"	4	65						69		2020-06-09 16:23:52	F	F	2	2	100	100	1.92	66
343			"base"	"interview"	2020-06-09 16:26:37	1	21	1	2	3	5	2	4	27	4	100	"01:00"	4	43	15	29	24	6	15	136		2020-06-09 16:28:53	T	F	7	7	0	0	1.61	35
